state,name,ein,address,phone,email,website,raw_source
AL,Children’s Tuition Fund of Alabama,,PO Box 62249,(719) 867-5280,elliott@acsi.org,,https://www.revenue.alabama.gov/legal/annual-public-report-information/
FL,Sunshine State Kids,,"5870 Stirling Rd, Hollywood, FL 33021",954-353-6660,admin@sunshinestatekidsfl.org,https://sunshinestatekidsfl.org/,https://www.fldoe.org/schools/school-choice/k-12-scholarship-programs/sfo/
GA,A A A Scholarship Foundation Inc.,,,,,,https://dor.georgia.gov/student-scholarship-organization-audit-reports
GA,Christian Int Counseling and Ministries,,,,,,https://dor.georgia.gov/student-scholarship-organization-audit-reports
GA,Georgia GOAL Scholarship Program Inc.,,,,,,https://dor.georgia.gov/student-scholarship-organization-audit-reports
GA,Georgia Student Scholarship Organization Inc.,,,,,,https://dor.georgia.gov/student-scholarship-organization-audit-reports
GA,Georgia Tax Credit Scholarship Program Inc.,,,,,,https://dor.georgia.gov/student-scholarship-organization-audit-reports
GA,A Pay It Forward Scholarship Inc.,,,,,,https://dor.georgia.gov/student-scholarship-organization-audit-reports
KS,ACE Scholarships SGO Kansas LLC,,"5251 DTC Parkway, Suite 1150 Greenwood Village CO 80111",303-407-0611,lrhodes@acescholarships.org,,https://www.ksde.gov/docs/default-source/sf/sgo-directory-05122026.pdf
KS,Center for Behavioral and Academic Research,,903 S. Glenn Avenue Wichita KS 67213,316-239-6472,alycia@mcadamsacademy.com,,https://www.ksde.gov/docs/default-source/sf/sgo-directory-05122026.pdf
KS,Golden Belt Community Foundation,,1307 Williams St. Great Bend KS 67530,620-792-3000,jason@goldenbeltcf.org,,https://www.ksde.gov/docs/default-source/sf/sgo-directory-05122026.pdf
KS,Word of Life Ministries and Schools Inc.,,915 E. 53rd St. Wichita KS 67219,316-644-3070,Prob@WOLM.org,,https://www.ksde.gov/docs/default-source/sf/sgo-directory-05122026.pdf
LA,ACE Scholarships Louisiana,,,,,https://www.acescholarships.org/become-a-scholar/louisiana/,https://doe.louisiana.gov/topic-pages/louisiana-school-choice/tuition-donation-credit-program
MO,Agudath Israel of Illinois dba Agudath Israel of Missouri,,,,,,https://treasurer.mo.gov/Content/MOScholars_Information/MOScholarsEAOList2024-2025.xlsx
MO,Children's Tuition Fund of MO,,,,,,https://treasurer.mo.gov/Content/MOScholars_Information/MOScholarsEAOList2024-2025.xlsx
MO,Missouri District of the Lutheran Church - Missouri Synod,,,,,,https://treasurer.mo.gov/Content/MOScholars_Information/MOScholarsEAOList2024-2025.xlsx
MO,Today and Tomorrow Educational Foundation,,,,,,https://treasurer.mo.gov/Content/MOScholars_Information/MOScholarsEAOList2024-2025.xlsx
MT,ACE Scholarships SSO Montana LLC,,,,,,https://svc.mt.gov/dor/educationdonation2/Pages/Reports/PublicStats?dt=SSO
NH,THE CHILDREN’S SCHOLARSHIP FUND,,,,,,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/scholarship-organizations-approved-2025-2026.pdf
NV,AAA Scholarship Foundation-NV LLC,,"1452 W. Horizon Ridge Road, #541, Henderson NV 89012",(888)707-2465,kim@aaascholarships.org,,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/Registered_Scholarship_Organizations_af21ccf71e.pdf
NV,Silver State Scholarships,,"6655 W. Sahara Ave. #D106 Las Vegas, NV 89146",(702)736-7787,scholarships@silverstatescholarships.org,,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/Registered_Scholarship_Organizations_af21ccf71e.pdf
OH,1 BBH BEES SGO,41-3833782,"9305 OXFORD TRAIL, BRECKSVILLE, Ohio 44141",,,,https://charitable.ohioago.gov/Scholarship-Granting-Organization-Certification/List
OH,American Scholarship Network,42-1945763,"4456 N Abbe Rd #305, Sheffield Village, Ohio 44054",,,,https://charitable.ohioago.gov/Scholarship-Granting-Organization-Certification/List
OH,Aurora City Schools Scholarship Granting Organization,41-2906278,"PO Box 109, Aurora, Ohio 44202",,,,https://charitable.ohioago.gov/Scholarship-Granting-Organization-Certification/List
OH,Buckeye Christian School Organization,34-1417866,"2400 Chandlersville Rd, Zanesville, Ohio 43056",,,,https://charitable.ohioago.gov/Scholarship-Granting-Organization-Certification/List
OH,CISE-SGO,88-3142134,"100 E. 8th Street, Cincinnati, Ohio 45202",,,,https://charitable.ohioago.gov/Scholarship-Granting-Organization-Certification/List
OH,Give For Kids Scholarship Fund,39-4236057,"4334 BAINTREE RD, University Heights, Ohio 44118",,,,https://charitable.ohioago.gov/Scholarship-Granting-Organization-Certification/List
OH,Heights Tax Credit SGO,41-4353004,"260 Fenwick Road, University Heights, Ohio 44118",,,,https://charitable.ohioago.gov/Scholarship-Granting-Organization-Certification/List
OH,Saint Ursula Academy Foundation Inc.,34-1886759,"4025 Indian Road, Toledo, Ohio 43606",,,,https://charitable.ohioago.gov/Scholarship-Granting-Organization-Certification/List
OH,Waldorf Method Education Scholarship Association,93-3579746,"76 Charleston Ave., Columbus, Ohio 43214",,,,https://charitable.ohioago.gov/Scholarship-Granting-Organization-Certification/List
PA,Armstrong County Community Foundation,,"220 S. Jefferson Street, Suite B, Kittanning, PA  16201",(724) 548-5897,jodi@servingtheheart.org,www.servingtheheart.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Athletic Club of Fairhill Inc.,,"1205 E. Columbia Ave., Philadelphia, PA  19125",(267) 908-9166,acfairhill@gmail.com,www.acfairhilll.com,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Bryn Athyn Church of the New Jerusalem,,"600 Tomlinson Rd., PO Box 277, Bryn Athyn, PA  19009",(215) 544-1407,Fauve.Nash@brynathynchurch.org,www.brynathynchurch.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
